# PRODUCTS
# name|category|price|batch_size|batch_price|lower_bound|size|shop_id
Maize Meal|Grocery|85.0|12|918.0|10|10kg|1
Rice|Grocery|60.0|12|648.0|10|5kg|1
Sugar|Grocery|45.0|12|486.0|10|2.5kg|1
Flour|Grocery|50.0|12|540.0|10|5kg|1
Cooking Oil|Grocery|75.0|12|810.0|10|2L|1
Salt|Grocery|12.0|12|129.6|10|1kg|1
Milk Long Life|Dairy|15.0|12|162.0|10|1L|1
Bread White|Bakery|16.0|12|172.8|10|700g|1
Bread Brown|Bakery|15.0|12|162.0|10|700g|1
Eggs|Dairy|65.0|12|702.0|10|18 pack|1
Tea Bags|Grocery|32.0|12|345.6|10|100s|1
Coffee|Grocery|55.0|12|594.0|10|200g|1
Baked Beans|Canned|18.0|12|194.4|10|410g|1
Sardines|Canned|22.0|12|237.6|10|155g|1
Peanut Butter|Grocery|40.0|12|432.0|10|400g|1
Jam|Grocery|28.0|12|302.4|10|450g|1
Toilet Paper|Household|30.0|12|324.0|10|9 roll|1
Dishwashing Liquid|Household|22.0|12|237.6|10|750ml|1
Washing Powder|Household|60.0|12|648.0|10|2kg|1
Bath Soap|Toiletries|10.0|12|108.0|10|175g|1
Shampoo|Toiletries|35.0|12|378.0|10|400ml|1
Toothpaste|Toiletries|22.0|12|237.6|10|100ml|1
Matches|Household|3.0|12|32.4|10|Box|1
Candles|Household|25.0|12|270.0|10|6 pack|1
Sugar Beans|Grocery|48.0|12|518.4|10|2kg|1
Lentils|Grocery|35.0|12|378.0|10|1kg|1
Chicken Portions|Frozen|90.0|12|972.0|10|2kg|1
Frozen Chips|Frozen|35.0|12|378.0|10|1kg|1
Ice Cream|Frozen|60.0|12|648.0|10|2L|1
Soft Drink Cola|Beverage|18.0|12|194.4|10|2L|1
Soft Drink Orange|Beverage|18.0|12|194.4|10|2L|1
Juice|Beverage|20.0|12|216.0|10|1L|1
Energy Drink|Beverage|14.0|12|151.2|10|500ml|1
Biscuits Marie|Snacks|18.0|12|194.4|10|200g|1
Chips|Snacks|16.0|12|172.8|10|150g|1
Sweets|Snacks|10.0|12|108.0|10|100g|1
Chocolate|Snacks|22.0|12|237.6|10|80g|1
Instant Noodles|Grocery|6.0|12|64.8|10|70g|1
Tomato Sauce|Grocery|20.0|12|216.0|10|700ml|1
Mayonnaise|Grocery|28.0|12|302.4|10|750g|1
Peanut Snacks|Snacks|15.0|12|162.0|10|200g|1
Cereal|Grocery|45.0|12|486.0|10|500g|1
Oats|Grocery|30.0|12|324.0|10|1kg|1
Baby Diapers|Baby|120.0|12|1296.0|10|Medium|1
Baby Wipes|Baby|25.0|12|270.0|10|80s|1
Face Mask|Health|5.0|12|54.0|10|Single|1
Hand Sanitizer|Health|20.0|12|216.0|10|250ml|1
Pain Relief Tablets|Health|18.0|12|194.4|10|24 pack|1

# INVENTORY_RECORDS
# product_index|date|quantity
1|2026-01-01|114
1|2026-01-04|108
1|2026-01-05|102
1|2026-01-08|96
1|2026-01-11|90
1|2026-01-12|84
1|2026-01-15|78
1|2026-01-18|72
1|2026-01-19|66
2|2026-01-01|113
2|2026-01-04|106
2|2026-01-05|99
2|2026-01-08|92
2|2026-01-11|85
2|2026-01-12|78
2|2026-01-15|71
2|2026-01-18|64
2|2026-01-19|57
3|2026-01-01|112
3|2026-01-04|104
3|2026-01-05|96
3|2026-01-08|88
3|2026-01-11|80
3|2026-01-12|72
3|2026-01-15|64
3|2026-01-18|56
3|2026-01-19|48
4|2026-01-01|111
4|2026-01-04|102
4|2026-01-05|93
4|2026-01-08|84
4|2026-01-11|75
4|2026-01-12|66
4|2026-01-15|57
4|2026-01-18|48
4|2026-01-19|39
5|2026-01-01|110
5|2026-01-04|100
5|2026-01-05|90
5|2026-01-08|80
5|2026-01-11|70
5|2026-01-12|60
5|2026-01-15|50
5|2026-01-18|40
5|2026-01-19|30
6|2026-01-01|109
6|2026-01-04|98
6|2026-01-05|87
6|2026-01-08|76
6|2026-01-11|65
6|2026-01-12|54
6|2026-01-15|43
6|2026-01-18|32
6|2026-01-19|21
7|2026-01-01|115
7|2026-01-04|110
7|2026-01-05|105
7|2026-01-08|100
7|2026-01-11|95
7|2026-01-12|90
7|2026-01-15|85
7|2026-01-18|80
7|2026-01-19|75
8|2026-01-01|114
8|2026-01-04|108
8|2026-01-05|102
8|2026-01-08|96
8|2026-01-11|90
8|2026-01-12|84
8|2026-01-15|78
8|2026-01-18|72
8|2026-01-19|66
9|2026-01-01|113
9|2026-01-04|106
9|2026-01-05|99
9|2026-01-08|92
9|2026-01-11|85
9|2026-01-12|78
9|2026-01-15|71
9|2026-01-18|64
9|2026-01-19|57
10|2026-01-01|112
10|2026-01-04|104
10|2026-01-05|96
10|2026-01-08|88
10|2026-01-11|80
10|2026-01-12|72
10|2026-01-15|64
10|2026-01-18|56
10|2026-01-19|48
11|2026-01-01|111
11|2026-01-04|102
11|2026-01-05|93
11|2026-01-08|84
11|2026-01-11|75
11|2026-01-12|66
11|2026-01-15|57
11|2026-01-18|48
11|2026-01-19|39
12|2026-01-01|110
12|2026-01-04|100
12|2026-01-05|90
12|2026-01-08|80
12|2026-01-11|70
12|2026-01-12|60
12|2026-01-15|50
12|2026-01-18|40
12|2026-01-19|30
13|2026-01-01|109
13|2026-01-04|98
13|2026-01-05|87
13|2026-01-08|76
13|2026-01-11|65
13|2026-01-12|54
13|2026-01-15|43
13|2026-01-18|32
13|2026-01-19|21
14|2026-01-01|115
14|2026-01-04|110
14|2026-01-05|105
14|2026-01-08|100
14|2026-01-11|95
14|2026-01-12|90
14|2026-01-15|85
14|2026-01-18|80
14|2026-01-19|75
15|2026-01-01|114
15|2026-01-04|108
15|2026-01-05|102
15|2026-01-08|96
15|2026-01-11|90
15|2026-01-12|84
